term,Onecut2,Onecut3,Gria1,Gria2,Gria3,Gria4,Grid1,Grid2,Grik1,Grik2,Grik3,Grik4,Grik5,Grin1,Grin2a,Grin2b,Grin2c,Grin2d,Grin3a,Grin3b,Grm1,Grm5,Grm2,Grm3,Grm4,Grm7,Grm8,Slc17a6,Slc17a7,Slc17a8,Slc1a1,Slc1a2,Slc1a6,Gad1,Slc32a1,Slc6a1,Th,Trh
Onecut2,NA,-0.34064297761207124,-0.17477735459225327,-0.08172185630645099,-0.15289682121497591,-0.1243176470546107,-0.20286108994924462,-0.2165504239936737,-0.11603117428888943,-0.09699404155878627,-0.04592567961328751,-0.10484619567121368,-0.034696860232859277,-0.1744398818974114,-0.07536639115098585,-0.12639872873839086,-0.05426882898610069,-0.07593715097855672,-0.15942510763758458,-0.010666525813070094,-0.15835503721982214,-0.2177151046326758,0.018231864974555256,-0.10367143343644802,-0.004402548380762872,-0.10081358299044932,-0.11761476071592751,-0.049084409516142284,-0.027337230200196877,-0.06662185176504125,-0.08036246985496177,-0.08405723055854321,-0.07797667980160213,-0.2025844227296458,-0.2199053109318571,-0.11475671070159206,-0.08941184454686298,-0.0476787604841287
Onecut3,-0.34064297761207124,NA,0.06345241338600148,0.01234801009810907,0.06312561302720333,0.05804258945981132,0.004546986921532913,0.04801881511154242,-0.015269217992931391,-0.07350568516172168,0.003526657578948687,0.01366215796725337,-0.007073174131730251,0.05454703626272131,0.015625711258143868,0.022525879398018332,0.05751003327913838,-0.005132503739182703,-0.007812900004772185,0.027697633826401395,8.159113210404478e-4,0.023326464353904588,-0.017291163248447223,0.007118611933714075,-0.007104965005244495,0.012898621348867843,0.02528601782937016,-0.040745466633556764,0.03302442795934159,0.048601681897288994,0.005173249663291739,-0.005378288617479464,0.024143788207762036,0.062224991480945506,0.05922890644516394,0.016281074327688688,0.011217751203939986,0.03839324089230972
Gria1,-0.17477735459225327,0.06345241338600148,NA,0.1303360506539975,0.10393734952236726,0.11452854902873143,0.18059906841877732,0.19477704934442946,0.09012971034361679,-0.017511036799489618,-0.022677256942901496,0.07600402048508678,0.06159398719692175,0.12275656574573109,0.06437178375960952,0.11319085861043769,0.026129696676262006,0.012023211070764902,0.11062630680458503,-0.010170324941498412,0.11734105191254728,0.19743113918367025,0.002779779439728267,0.05866569207275121,0.0035927143378043703,0.12826070236750003,0.07066050700955351,9.083802150416171e-4,0.034064127069968496,0.0687502611691194,0.05411008344496785,-0.016945194728513035,0.09116324931042981,0.09913987413999016,0.10138367463901327,0.042289250568267274,0.05545176001471437,0.012656298046809287
Gria2,-0.08172185630645099,0.01234801009810907,0.1303360506539975,NA,0.09278072344376155,0.07294824494285315,0.11870770442900971,0.10224982010503961,0.058356568310211326,0.033388371852288753,0.0055838185512200565,0.03578554336442334,0.07708276852239174,0.0650417549459615,0.04484226423402178,0.11115470637013543,0.017241134102849213,0.01550990528514348,0.07871030236472794,-0.007299277973851392,0.09462391663014179,0.11673273724424789,0.051400673565955596,0.07379683687927738,-0.020831945900660193,0.14139215725760562,0.037216589780714515,0.025702265483330718,0.011724206549511786,0.024155140040740732,-0.03225159584153252,0.017605271569638047,0.055812579292974326,0.03655173661014795,0.04475330355034695,-0.017283385584091104,0.005727070241162647,0.02499044099564609
Gria3,-0.15289682121497591,0.06312561302720333,0.10393734952236726,0.09278072344376155,NA,0.14030195168877815,0.15924593765667225,0.1760314807129528,0.06253877710091438,0.02162262222884891,0.048963899057632855,0.06834617015422023,0.08618416603378329,0.15057759355115619,0.07328595320469618,0.13046229310903032,-0.0025544192371985456,0.05012285473540947,0.12300206094011273,-0.025256056684023313,0.13012467367312633,0.20891798168707024,-0.005252327405377971,0.14558537494015703,0.01054407450411851,0.12766090407651343,0.04712027070906909,-0.04199168103629947,0.02361312102790155,0.08886369956878776,0.027036048259628558,0.02147129286048773,0.08297773526888445,0.1805020765936026,0.18213661725151978,0.060937567293496135,0.019366316784014223,0.0995511703404583
Gria4,-0.1243176470546107,0.05804258945981132,0.11452854902873143,0.07294824494285315,0.14030195168877815,NA,0.12750385737968756,0.18702602533431437,0.08229575423479243,0.038921191321740975,0.02437637271580523,0.0453662955746593,0.05285317667129348,0.08465820374398172,0.03371360444349225,0.12090004481400524,0.013874194873852153,0.002710199466459825,0.09777403479084164,-0.0252671785861836,0.06752672107820679,0.17892745189074893,-0.047937383912717985,0.0671702673605816,-0.04005922697523013,0.06983106109783023,0.09227873794304652,-0.05951131630842487,0.013503666491885793,0.006630477561580495,0.026160494094298718,0.0010537751904579934,0.06332419972690743,0.14435072349450706,0.11442409605289955,0.06066350710212085,0.014654546919236566,0.029111685779308043
Grid1,-0.20286108994924462,0.004546986921532913,0.18059906841877732,0.11870770442900971,0.15924593765667225,0.12750385737968756,NA,0.23855830909327633,0.12720551761531892,0.00340774361768881,-0.05390818859051992,0.09761749714497739,0.09501712305626837,0.16753036021692655,0.09839353144728047,0.14751767241872238,0.009100984903158027,0.03940424010378983,0.13788949977741063,-0.0065287593602525425,0.14588999414505294,0.22203786123339186,1.937187833579816e-4,0.11898911314412183,0.04366117691794756,0.13258422375462406,0.09155390044960547,0.04529315368503866,0.0338265974468569,0.010445948092820836,0.048165245444951967,0.03563573023771208,0.0951562393021618,0.0937193226006749,0.11493098212169381,0.03397724003616711,0.033177427275493186,0.09900368487612933
Grid2,-0.2165504239936737,0.04801881511154242,0.19477704934442946,0.10224982010503961,0.1760314807129528,0.18702602533431437,0.23855830909327633,NA,0.16914003687442689,0.026172773610302413,-0.07237766474425238,0.1159165694034473,0.0913819869292326,0.1993169816455114,0.12139405518439401,0.14673472367124557,0.017736355411187857,0.0524137736273561,0.2051521051996698,-0.032442845614213546,0.19224139678384058,0.3014534912434653,0.004178735734676685,0.10083868086002619,0.009240985088444575,0.18443109608718664,0.1325532099971388,-0.037553249190641125,0.03093676055034461,0.04463242976262163,0.0698409805661632,-0.007518008867903602,0.10075859767579493,0.13819094670159268,0.13752443780823123,0.06218744552425299,0.025299637674356244,0.11260616735176616
Grik1,-0.11603117428888943,-0.015269217992931391,0.09012971034361679,0.058356568310211326,0.06253877710091438,0.08229575423479243,0.12720551761531892,0.16914003687442689,NA,0.050512447565683516,-0.04155255692577275,0.03808592150573997,0.04679463566032921,0.11660973609110238,0.0799225213622718,0.09769530936807065,0.012311632892751565,0.027706429296480397,0.08922728384955042,0.01041738012927443,0.08883769003140515,0.18294074642287997,-0.014135470925002594,0.042763305473581766,0.019742929721340084,0.07599811107867739,0.08983749500793825,-0.020514902910158467,0.04148836198646842,0.025863114691459164,0.02552146793094316,0.015199437362380469,0.04671230609655918,0.06924350475840778,0.058683985186093905,0.010852792537428803,0.010691715564538379,0.006181237336153229
Grik2,-0.09699404155878627,-0.07350568516172168,-0.017511036799489618,0.033388371852288753,0.02162262222884891,0.038921191321740975,0.00340774361768881,0.026172773610302413,0.050512447565683516,NA,0.024889887314189233,0.01055609499733915,-0.024259642239162302,-0.011685531652252923,-0.006514632184438215,0.036050184284253196,-0.007150805071703001,0.014089378044633791,0.022011111266154543,-0.013532029359763961,0.02058667924012057,0.03474387455901265,-0.023499338378097794,0.027194328887808324,-0.04092745886216282,-0.014751241942612573,0.07673515861324438,-0.05130012440998821,-0.03253978804970528,-0.0033181280059535754,-0.017606062838534782,0.013113998187908338,-0.01247028726240475,0.014032509582590488,0.02320999499139652,0.04968716618459854,0.01827025356815553,-0.08297041877003188
