term,Onecut2,Onecut3,Gria1,Gria2,Gria3,Gria4,Grid1,Grid2,Grik1,Grik2,Grik3,Grik4,Grik5,Grin1,Grin2a,Grin2b,Grin2c,Grin2d,Grin3a,Grin3b,Grm1,Grm5,Grm2,Grm3,Grm4,Grm7,Grm8,Slc17a6,Slc17a7,Slc17a8,Slc1a1,Slc1a2,Slc1a6,Gad1,Slc32a1,Slc6a1,Th,Trh
Onecut2,NA,0.08746093862997478,-0.0346309267905724,0.03635828328003851,-0.01262170519313981,0.04610174397533154,-0.16222490129949454,-0.14334752009747842,-0.08580779888796515,-0.04424905704179674,0.08583600395682503,-0.0558545221963434,0.07685311600017111,-0.053916658984371736,0.030342127495918615,0.005126275374993974,-0.020117393950447995,-0.07097638914079749,-0.10078926405911573,-0.011115174964157138,-0.08321374890984969,-0.1560813077398016,0.0816730323275222,-0.02056227258835906,-0.040778765310384504,0.022541404058858457,-0.06138971937651794,-0.05935692707118344,0.03815221578720995,0.011104060823423766,0.026881215403073012,0.017592763656001122,0.10385298105962597,-0.13431190074540647,-0.09668512018276887,-0.021080950631882853,-0.07184848364752716,0.07913012980026156
Onecut3,0.08746093862997478,NA,-0.21919260010498628,-0.14100194607175762,-0.22961778662959523,-0.14932398686719106,-0.3541946498510242,-0.24765106166564974,-0.13331825952073323,-0.03498128113343418,-0.07690399122833348,-0.1681380845632216,-0.10189891256991172,-0.26759970008665157,-0.2293543355532017,-0.1398909303103354,0.0017903945707954975,-0.15957469548434927,-0.17680566067282177,-0.012525170643513134,-0.239528272874636,-0.2782278382328822,-0.0314919613596517,-0.1582379445791868,-0.08839423401497137,-0.2152361170778369,-0.06363850258550786,-0.19233101124331442,-0.029808305716825252,-0.06933435337859073,-0.12487070747778928,-0.13975337708386057,-0.2063545016377719,-0.21826264682491167,-0.34037175601121167,-0.19892537938083127,-0.12948438287341044,-0.12102528956300482
Gria1,-0.0346309267905724,-0.21919260010498628,NA,0.06344815601942928,0.10233755638957251,0.052632169174389426,0.1802445533761355,0.12090511621391839,0.08437735309694244,-0.029336088433201287,-0.054842982221883864,0.04273977560198107,0.04440361964352163,0.11569188858086515,0.08054779774491745,0.05979764960072903,-0.0076751317618169515,0.06971025257542285,0.022468172767531918,-0.039369239505488554,0.18472502457103318,0.17893760506029627,3.6549610798879633e-4,0.10791064839589902,0.08498660734841326,0.03864897496046995,0.1212304958232836,0.14224197557217996,0.027842208647938897,0.05754088482809123,-0.02637789137450734,0.02101905463041243,0.1371508430471437,0.05420655752355963,0.051605748490376115,0.0729043529383727,0.087547920320764,-0.05780305715021061
Gria2,0.03635828328003851,-0.14100194607175762,0.06344815601942928,NA,0.0735574385602883,0.07065401364704794,0.10268723831577004,0.14539562768117673,0.10148609149921488,0.06187238016669295,-0.008381363628058055,0.07591601277801345,0.10194528432255387,0.09045926174916001,0.05377871171262249,0.0983552211906453,0.021426410169480065,0.052271691555791006,0.053176091610504975,-0.038547651156589244,0.10556413602647526,0.09562180799848453,-0.0022955121805944946,0.03891497695505373,0.019181800269778667,0.038409600263061595,0.10971223647745197,0.08254236133948394,0.01922165165001931,-0.014531358225135788,-0.028093230092445312,0.05371095019485167,0.09150313637168941,0.011982206932249079,0.03600991076120967,0.0029674709811111687,-0.005085889408109824,-0.021072282884956856
Gria3,-0.01262170519313981,-0.22961778662959523,0.10233755638957251,0.0735574385602883,NA,0.10756859135465015,0.24339698389040024,0.1892776284421637,0.06492763262172181,-0.002137439053995587,0.12318866948318674,0.060932175746039194,0.06154730277312606,0.19257316186273196,0.12642762494671914,0.1473708696381897,-0.0616535570418941,0.15604743057410372,0.10349694779645074,-0.052490490933518284,0.11646722524971802,0.2416799420698418,-0.04617228125820686,0.1973379805017666,0.14620985007172704,0.11650428847189463,-0.0430230928409293,-0.036123587730461315,-0.020879037971729342,0.1450768256365827,-0.022381917800627933,0.06517481029237851,0.16224520775100681,0.18647861319380046,0.1916043821802236,0.09451208107891433,0.055480882399696105,0.034696960784281486
Gria4,0.04610174397533154,-0.14932398686719106,0.052632169174389426,0.07065401364704794,0.10756859135465015,NA,0.14957472643351688,0.12290881321455893,0.030607367076279094,0.023173410096259422,0.013474823510200228,-0.002280618198661035,0.02699626281320516,0.08645020514097818,0.0898497186615426,0.07166727264810378,0.04640866208062827,0.004270878622957381,0.1107135979938405,0.009971515582283933,0.05190837937049025,0.15227786075417865,-0.027606203863812507,0.03205694236916598,-0.01506004051945116,0.056390093299640474,0.1218679300072063,-0.007376150082358988,-0.020668055694303755,-0.027769207331194496,0.04736285714296432,0.009036669397803078,0.09438274269357937,0.04772587584625771,0.07009313950558137,0.0777423863774079,0.053308983370591034,0.04451541905938693
Grid1,-0.16222490129949454,-0.3541946498510242,0.1802445533761355,0.10268723831577004,0.24339698389040024,0.14957472643351688,NA,0.3053289145816601,0.19160371114646196,-0.011138664046287114,-0.03848530284647556,0.13456824463288047,0.09595447425278941,0.2582274962018868,0.17322573758496124,0.1938313036371517,-0.006385862108973504,0.10645421150624557,0.14241428679770426,0.027446281749807587,0.18545405125087783,0.28200348790827506,0.020282561179761176,0.12437718537378162,0.1343935618899045,0.09283259065013044,0.1274510236863901,0.13423900665892063,0.029229037634161594,0.007538658354085733,-0.022725505041188303,0.021443703183704036,0.1403128307645832,0.12831853183859485,0.16076773844384512,0.12680766545277866,-0.028387175578907808,0.09777102203625898
Grid2,-0.14334752009747842,-0.24765106166564974,0.12090511621391839,0.14539562768117673,0.1892776284421637,0.12290881321455893,0.3053289145816601,NA,0.13827271947935943,0.08091562269815372,-0.10579954251556913,0.0830236453597868,0.09646196236879831,0.177803568307943,0.183562778416799,0.11152327629628492,-0.03497576668690238,0.12640507251039196,0.21179180642272896,-0.06431798297871241,0.2850802028353784,0.2908671481226856,0.05898295004199258,0.09472393912450741,0.11850060340317754,0.24665554946342133,0.13133514828237733,0.13843297826537718,0.03671846096225186,0.0056290891214115955,0.05440712022634611,0.02359469176896121,0.11792322156110653,0.0818774632727989,0.10010815434645072,0.08761676853650235,0.042052492139501074,0.16554602843963026
Grik1,-0.08580779888796515,-0.13331825952073323,0.08437735309694244,0.10148609149921488,0.06492763262172181,0.030607367076279094,0.19160371114646196,0.13827271947935943,NA,-0.007818835155301507,-0.0878927497061958,0.05265766571559448,0.019094055090237403,0.09071839788299771,0.14495030410637066,0.11598006779790605,0.03188422889669888,0.11146983251613239,0.09576566894200125,-0.0016590752332629446,0.09632835840567823,0.12064028036508809,-0.028668830116216078,0.008511694684361372,0.11333976798742426,0.06559547099264978,0.08945657438609327,0.09914291027174829,0.055752233750076305,0.006375988696123505,-0.026060255962868158,0.07961969654051046,0.0505803493569967,0.05806770517753711,0.056527461845417105,0.06399057870942419,0.06411460943523212,0.011571986611080547
Grik2,-0.04424905704179674,-0.03498128113343418,-0.029336088433201287,0.06187238016669295,-0.002137439053995587,0.023173410096259422,-0.011138664046287114,0.08091562269815372,-0.007818835155301507,NA,-0.09096241548877296,0.01809703558194767,-0.01999174886300792,-8.642054084090869e-4,0.05279740521737707,0.07821530634525393,-0.030985092413028006,0.0030547500753370775,0.04184927700294709,-0.03713791643367706,0.08059517951715672,-0.016006577970598557,0.032951925183604666,0.0015975515744534245,0.042853922516243766,0.10912684296430378,0.0888155312481135,0.04186079315482611,-0.11525070665144709,-0.0433464588255614,0.017925426124899876,0.09334945884710148,0.05047868484281453,-0.07326149640666053,-0.02132135557825345,0.028928054952358766,0.031948677017173875,-0.08809690710883689
